,Step,Model Term,Number of Terms,Log-Likelihood,Model Degree of Freedom,Akaike Information Criterion,Bayesian Information Criterion,Sample Size,Accuracy of TestData,RMSE of TestData
0,0,[],0,-20858.73657847772,3,41723.47315695544,41747.26237672648,20532,0.0,1.7851991398885656
1,1,['f_primary_age_tier'],1,-20519.243372380428,15,41068.486744760856,41187.43284361606,20532,0.0,1.7851991398885656
2,2,['f_primary_gender'],1,-20856.747427834092,6,41725.494855668185,41773.07329521026,20532,0.0,1.7851991398885656
3,3,['f_marital'],1,-20856.947653429757,9,41731.895306859515,41803.26296617264,20532,0.0,1.7851991398885656
4,4,['f_residence_location'],1,-20848.0125317031,9,41714.0250634062,41785.39272271933,20532,0.0,1.7851991398885656
5,5,['f_fire_alarm_type'],1,-20765.33372673871,9,41548.66745347742,41620.035112790545,20532,0.0,1.7851991398885656
6,6,['f_mile_fire_station'],1,-20758.805293874568,12,41541.610587749135,41636.7674668333,20532,0.0,1.7851991398885656
7,7,['f_aoi_tier'],1,-20777.456796593964,15,41584.91359318793,41703.85969204313,20532,0.0,1.7851991398885656
8,8,"['f_primary_age_tier', 'f_primary_gender']",2,-20517.18778978436,18,41070.37557956872,41213.11089819496,20532,0.0,1.7851991398885656
9,9,"['f_primary_age_tier', 'f_marital']",2,-20517.246876604542,21,41076.493753209084,41243.01829160637,20532,0.0,1.7851991398885656
10,10,"['f_primary_age_tier', 'f_residence_location']",2,-20508.92415857381,21,41059.84831714762,41226.372855544905,20532,0.0,1.7851991398885656
11,11,"['f_primary_age_tier', 'f_fire_alarm_type']",2,-20420.63842042806,21,40883.27684085612,41049.801379253404,20532,0.0,1.7851991398885656
12,12,"['f_primary_age_tier', 'f_mile_fire_station']",2,-20418.20201421945,24,40884.4040284389,41074.71778660722,20532,0.0,1.7851991398885656
13,13,"['f_primary_age_tier', 'f_aoi_tier']",2,-20435.725837730068,27,40925.451675460135,41139.5546533995,20532,0.005156854318865492,1.7742528201360648
14,14,"['f_primary_gender', 'f_marital']",2,-20854.971016432573,12,41733.94203286515,41829.09891194931,20532,0.0,1.7851991398885656
15,15,"['f_primary_gender', 'f_residence_location']",2,-20845.979180486534,12,41715.95836097307,41811.11524005723,20532,0.0,1.7851991398885656
16,16,"['f_primary_gender', 'f_fire_alarm_type']",2,-20763.31512836262,12,41550.63025672524,41645.787135809405,20532,0.0,1.7851991398885656
17,17,"['f_primary_gender', 'f_mile_fire_station']",2,-20756.421301911803,15,41542.84260382361,41661.78870267881,20532,0.0,1.7851991398885656
18,18,"['f_primary_gender', 'f_aoi_tier']",2,-20775.597384104018,18,41587.194768208035,41729.930086834276,20532,0.0,1.7851991398885656
19,19,"['f_marital', 'f_residence_location']",2,-20846.186639037216,15,41722.37327807443,41841.319376929634,20532,0.0,1.7851991398885656
20,20,"['f_marital', 'f_fire_alarm_type']",2,-20763.58136032585,15,41557.1627206517,41676.1088195069,20532,0.0,1.7851991398885656
21,21,"['f_marital', 'f_mile_fire_station']",2,-20756.91604672278,18,41549.83209344556,41692.5674120718,20532,0.0,1.7851991398885656
