,Iteration,Sum of Weights,Weighted Accuracy
0,0,4547.0,0.7528040466241478
1,1,3298.1008263742933,0.8398342905040086
2,2,8602.232914649527,0.9755766326177174
3,3,3614.427040090972,0.9738398884068389
4,4,8975.477397381019,0.9934014157116959
5,5,3657.1996550126028,0.9871631849937752
6,6,8699.609749421743,0.9989365506261062
7,7,3823.272844236134,0.9922962645290412
8,8,9267.338476201143,0.9989697483749743
9,9,3709.49851588819,0.9995885640214832
10,10,8922.412080883547,0.9999379963581282
11,11,3831.0501974943654,0.9991376176867861
12,12,9505.01156145901,0.9998849333752113
13,13,3884.037597497886,0.999906352933896
14,14,9365.172683484956,0.9999908714219145
15,15,3876.058957357368,0.9999983667905822
16,16,9398.973974392971,0.9999997754987902
17,17,3960.000661252515,0.999999822381173
18,18,9431.997108003678,0.9999999751425136
